LGA_NAME,COUNCIL_FULL_NAME,WEBSITE_URL,LOCAL_LAWS_PAGE_URL,PLANNING_PAGE_URL,PHONE,LOCAL_LAW_NUMBER,LOCAL_LAW_YEAR,SIZE_THRESHOLD_CIRCUMFERENCE_M,SIZE_THRESHOLD_HEIGHT_M,INDIGENOUS_TREES_PROTECTED,PRUNING_THRESHOLD_PERCENT,PERMIT_FEE_STANDARD,PERMIT_FEE_CONCESSION,PROCESSING_DAYS_MIN,PROCESSING_DAYS_MAX,EXEMPTION_DEAD_DYING,EXEMPTION_EMERGENCY,EXEMPTION_FIRE_PREVENTION,EXEMPTION_FRUIT_TREES,OTHER_EXEMPTIONS,REPLACEMENT_RATIO,ARBORIST_REPORT_REQUIRED,PENALTIES_MIN,PENALTIES_MAX,NOTES,VERIFICATION_STATUS,VERIFIED_DATE,VERIFIED_BY,SOURCE_URL_1,SOURCE_URL_2
Hobsons Bay,"City of Hobsons Bay",https://www.hobsonsbay.vic.gov.au,https://www.hobsonsbay.vic.gov.au/about-council/local-laws,https://www.hobsonsbay.vic.gov.au/planning-building,(03) 9932 1000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Hume,"City of Hume",https://www.hume.vic.gov.au,https://www.hume.vic.gov.au/residents/local-laws,https://www.hume.vic.gov.au/planning-building,(03) 9205 2200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Knox,"City of Knox",https://www.knox.vic.gov.au,https://www.knox.vic.gov.au/about-council/local-laws,https://www.knox.vic.gov.au/planning-building,(03) 9298 8000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Manningham,"City of Manningham",https://www.manningham.vic.gov.au,https://www.manningham.vic.gov.au/local-laws,https://www.manningham.vic.gov.au/planning,(03) 9840 9333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Maribyrnong,"City of Maribyrnong",https://www.maribyrnong.vic.gov.au,https://www.maribyrnong.vic.gov.au/About-Council/Local-Laws,https://www.maribyrnong.vic.gov.au/Planning-Building,(03) 9688 0000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Maroondah,"City of Maroondah",https://www.maroondah.vic.gov.au,https://www.maroondah.vic.gov.au/About-Council/Local-Laws,https://www.maroondah.vic.gov.au/Planning-Building,(03) 9298 4598,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Monash,"City of Monash",https://www.monash.vic.gov.au,https://www.monash.vic.gov.au/About-Us/Local-Laws,https://www.monash.vic.gov.au/Planning-Building,(03) 9518 3555,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Moonee Valley,"City of Moonee Valley",https://www.mvcc.vic.gov.au,https://www.mvcc.vic.gov.au/about-us/local-laws,https://www.mvcc.vic.gov.au/planning-building,(03) 9243 8888,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Port Phillip,"City of Port Phillip",https://www.portphillip.vic.gov.au,https://www.portphillip.vic.gov.au/about-the-council/local-laws,https://www.portphillip.vic.gov.au/planning-and-building,(03) 9209 6777,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Stonnington,"City of Stonnington",https://www.stonnington.vic.gov.au,https://www.stonnington.vic.gov.au/About/Local-Laws,https://www.stonnington.vic.gov.au/Planning-Building,(03) 8290 1333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Whitehorse,"City of Whitehorse",https://www.whitehorse.vic.gov.au,https://www.whitehorse.vic.gov.au/about-council/local-laws,https://www.whitehorse.vic.gov.au/planning-building,(03) 9262 6333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Wyndham,"City of Wyndham",https://www.wyndham.vic.gov.au,https://www.wyndham.vic.gov.au/local-laws,https://www.wyndham.vic.gov.au/planning-building,(03) 9742 0777,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Bayside,"City of Bayside",https://www.bayside.vic.gov.au,https://www.bayside.vic.gov.au/local-laws,https://www.bayside.vic.gov.au/planning,(03) 9599 4444,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Brimbank,"City of Brimbank",https://www.brimbank.vic.gov.au,https://www.brimbank.vic.gov.au/local-laws,https://www.brimbank.vic.gov.au/planning,(03) 9249 4000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Cardinia,"Shire of Cardinia",https://www.cardinia.vic.gov.au,https://www.cardinia.vic.gov.au/local-laws,https://www.cardinia.vic.gov.au/planning,1300 787 624,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Frankston,"City of Frankston",https://www.frankston.vic.gov.au,https://www.frankston.vic.gov.au/local-laws,https://www.frankston.vic.gov.au/planning,1300 322 322,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Kingston,"City of Kingston",https://www.kingston.vic.gov.au,https://www.kingston.vic.gov.au/local-laws,https://www.kingston.vic.gov.au/planning,1300 653 356,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Melton,"City of Melton",https://www.melton.vic.gov.au,https://www.melton.vic.gov.au/local-laws,https://www.melton.vic.gov.au/planning,(03) 9747 7200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Mornington Peninsula,"Shire of Mornington Peninsula",https://www.mornpen.vic.gov.au,https://www.mornpen.vic.gov.au/local-laws,https://www.mornpen.vic.gov.au/planning,1300 850 600,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Nillumbik,"Shire of Nillumbik",https://www.nillumbik.vic.gov.au,https://www.nillumbik.vic.gov.au/local-laws,https://www.nillumbik.vic.gov.au/planning,(03) 9433 3111,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Yarra Ranges,"Shire of Yarra Ranges",https://www.yarraranges.vic.gov.au,https://www.yarraranges.vic.gov.au/local-laws,https://www.yarraranges.vic.gov.au/planning,1300 368 333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Ballarat,"City of Ballarat",https://www.ballarat.vic.gov.au,https://www.ballarat.vic.gov.au/local-laws,https://www.ballarat.vic.gov.au/planning,(03) 5320 5500,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Greater Bendigo,"City of Greater Bendigo",https://www.bendigo.vic.gov.au,https://www.bendigo.vic.gov.au/local-laws,https://www.bendigo.vic.gov.au/planning,(03) 5434 6000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Greater Geelong,"City of Greater Geelong",https://www.geelongaustralia.com.au,https://www.geelongaustralia.com.au/local-laws,https://www.geelongaustralia.com.au/planning,(03) 5272 5272,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Greater Shepparton,"City of Greater Shepparton",https://www.greatershepparton.com.au,https://www.greatershepparton.com.au/local-laws,https://www.greatershepparton.com.au/planning,(03) 5832 9700,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Latrobe,"City of Latrobe",https://www.latrobe.vic.gov.au,https://www.latrobe.vic.gov.au/local-laws,https://www.latrobe.vic.gov.au/planning,1300 367 700,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Macedon Ranges,"Shire of Macedon Ranges",https://www.mrsc.vic.gov.au,https://www.mrsc.vic.gov.au/local-laws,https://www.mrsc.vic.gov.au/planning,(03) 5422 0333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Mildura,"Rural City of Mildura",https://www.mildura.vic.gov.au,https://www.mildura.vic.gov.au/local-laws,https://www.mildura.vic.gov.au/planning,(03) 5018 8100,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Mitchell,"Shire of Mitchell",https://www.mitchell.vic.gov.au,https://www.mitchell.vic.gov.au/local-laws,https://www.mitchell.vic.gov.au/planning,(03) 5734 6200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Surf Coast,"Shire of Surf Coast",https://www.surfcoast.vic.gov.au,https://www.surfcoast.vic.gov.au/local-laws,https://www.surfcoast.vic.gov.au/planning,(03) 5261 0600,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Warrnambool,"City of Warrnambool",https://www.warrnambool.vic.gov.au,https://www.warrnambool.vic.gov.au/local-laws,https://www.warrnambool.vic.gov.au/planning,(03) 5559 4800,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Wellington,"Shire of Wellington",https://www.wellington.vic.gov.au,https://www.wellington.vic.gov.au/local-laws,https://www.wellington.vic.gov.au/planning,1300 366 244,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Alpine,"Shire of Alpine",https://www.alpineshire.vic.gov.au,https://www.alpineshire.vic.gov.au/local-laws,https://www.alpineshire.vic.gov.au/planning,(03) 5755 0555,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Ararat,"Rural City of Ararat",https://www.ararat.vic.gov.au,https://www.ararat.vic.gov.au/local-laws,https://www.ararat.vic.gov.au/planning,(03) 5355 0200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Bass Coast,"Shire of Bass Coast",https://www.basscoast.vic.gov.au,https://www.basscoast.vic.gov.au/local-laws,https://www.basscoast.vic.gov.au/planning,1300 226 278,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Baw Baw,"Shire of Baw Baw",https://www.bawbawshire.vic.gov.au,https://www.bawbawshire.vic.gov.au/local-laws,https://www.bawbawshire.vic.gov.au/planning,1300 229 229,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Benalla,"Rural City of Benalla",https://www.benalla.vic.gov.au,https://www.benalla.vic.gov.au/local-laws,https://www.benalla.vic.gov.au/planning,(03) 5760 2600,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Buloke,"Shire of Buloke",https://www.buloke.vic.gov.au,https://www.buloke.vic.gov.au/local-laws,https://www.buloke.vic.gov.au/planning,(03) 5478 0100,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Campaspe,"Shire of Campaspe",https://www.campaspe.vic.gov.au,https://www.campaspe.vic.gov.au/local-laws,https://www.campaspe.vic.gov.au/planning,(03) 5481 2200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Central Goldfields,"Shire of Central Goldfields",https://www.centralgoldfields.vic.gov.au,https://www.centralgoldfields.vic.gov.au/local-laws,https://www.centralgoldfields.vic.gov.au/planning,(03) 5461 0610,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Colac Otway,"Shire of Colac Otway",https://www.colacotway.vic.gov.au,https://www.colacotway.vic.gov.au/local-laws,https://www.colacotway.vic.gov.au/planning,(03) 5232 9400,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Corangamite,"Shire of Corangamite",https://www.corangamite.vic.gov.au,https://www.corangamite.vic.gov.au/local-laws,https://www.corangamite.vic.gov.au/planning,(03) 5593 7100,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
East Gippsland,"Shire of East Gippsland",https://www.eastgippsland.vic.gov.au,https://www.eastgippsland.vic.gov.au/local-laws,https://www.eastgippsland.vic.gov.au/planning,1300 555 886,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Gannawarra,"Shire of Gannawarra",https://www.gannawarra.vic.gov.au,https://www.gannawarra.vic.gov.au/local-laws,https://www.gannawarra.vic.gov.au/planning,(03) 5450 9333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Glenelg,"Shire of Glenelg",https://www.glenelg.vic.gov.au,https://www.glenelg.vic.gov.au/local-laws,https://www.glenelg.vic.gov.au/planning,(03) 5522 2200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Golden Plains,"Shire of Golden Plains",https://www.gplains.vic.gov.au,https://www.gplains.vic.gov.au/local-laws,https://www.gplains.vic.gov.au/planning,(03) 5220 7111,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Hepburn,"Shire of Hepburn",https://www.hepburn.vic.gov.au,https://www.hepburn.vic.gov.au/local-laws,https://www.hepburn.vic.gov.au/planning,(03) 5348 2306,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Hindmarsh,"Shire of Hindmarsh",https://www.hindmarsh.vic.gov.au,https://www.hindmarsh.vic.gov.au/local-laws,https://www.hindmarsh.vic.gov.au/planning,(03) 5391 4444,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Horsham,"Rural City of Horsham",https://www.hrcc.vic.gov.au,https://www.hrcc.vic.gov.au/local-laws,https://www.hrcc.vic.gov.au/planning,(03) 5382 9777,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Indigo,"Shire of Indigo",https://www.indigoshire.vic.gov.au,https://www.indigoshire.vic.gov.au/local-laws,https://www.indigoshire.vic.gov.au/planning,(02) 6022 9300,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Loddon,"Shire of Loddon",https://www.loddon.vic.gov.au,https://www.loddon.vic.gov.au/local-laws,https://www.loddon.vic.gov.au/planning,(03) 5494 1200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Mansfield,"Shire of Mansfield",https://www.mansfield.vic.gov.au,https://www.mansfield.vic.gov.au/local-laws,https://www.mansfield.vic.gov.au/planning,(03) 5775 8555,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Moira,"Shire of Moira",https://www.moira.vic.gov.au,https://www.moira.vic.gov.au/local-laws,https://www.moira.vic.gov.au/planning,1800 676 472,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Moyne,"Shire of Moyne",https://www.moyne.vic.gov.au,https://www.moyne.vic.gov.au/local-laws,https://www.moyne.vic.gov.au/planning,(03) 5568 0555,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Murrindindi,"Shire of Murrindindi",https://www.murrindindi.vic.gov.au,https://www.murrindindi.vic.gov.au/local-laws,https://www.murrindindi.vic.gov.au/planning,(03) 5772 0333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Northern Grampians,"Shire of Northern Grampians",https://www.ngshire.vic.gov.au,https://www.ngshire.vic.gov.au/local-laws,https://www.ngshire.vic.gov.au/planning,(03) 5358 8700,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Pyrenees,"Shire of Pyrenees",https://www.pyrenees.vic.gov.au,https://www.pyrenees.vic.gov.au/local-laws,https://www.pyrenees.vic.gov.au/planning,(03) 5349 1100,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Queenscliffe,"Borough of Queenscliffe",https://www.queenscliffe.vic.gov.au,https://www.queenscliffe.vic.gov.au/local-laws,https://www.queenscliffe.vic.gov.au/planning,(03) 5258 1377,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
South Gippsland,"Shire of South Gippsland",https://www.southgippsland.vic.gov.au,https://www.southgippsland.vic.gov.au/local-laws,https://www.southgippsland.vic.gov.au/planning,1300 653 356,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Southern Grampians,"Shire of Southern Grampians",https://www.sthgrampians.vic.gov.au,https://www.sthgrampians.vic.gov.au/local-laws,https://www.sthgrampians.vic.gov.au/planning,(03) 5573 0444,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Strathbogie,"Shire of Strathbogie",https://www.strathbogie.vic.gov.au,https://www.strathbogie.vic.gov.au/local-laws,https://www.strathbogie.vic.gov.au/planning,(03) 5795 0000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Swan Hill,"Rural City of Swan Hill",https://www.swanhill.vic.gov.au,https://www.swanhill.vic.gov.au/local-laws,https://www.swanhill.vic.gov.au/planning,(03) 5036 2333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Towong,"Shire of Towong",https://www.towong.vic.gov.au,https://www.towong.vic.gov.au/local-laws,https://www.towong.vic.gov.au/planning,(02) 6071 5100,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Wangaratta,"Rural City of Wangaratta",https://www.wangaratta.vic.gov.au,https://www.wangaratta.vic.gov.au/local-laws,https://www.wangaratta.vic.gov.au/planning,(03) 5722 0888,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
West Wimmera,"Shire of West Wimmera",https://www.westwimmera.vic.gov.au,https://www.westwimmera.vic.gov.au/local-laws,https://www.westwimmera.vic.gov.au/planning,(03) 5385 7000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Wodonga,"City of Wodonga",https://www.wodonga.vic.gov.au,https://www.wodonga.vic.gov.au/local-laws,https://www.wodonga.vic.gov.au/planning,(02) 6022 9300,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Yarriambiack,"Shire of Yarriambiack",https://www.yarriambiack.vic.gov.au,https://www.yarriambiack.vic.gov.au/local-laws,https://www.yarriambiack.vic.gov.au/planning,(03) 5398 0100,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
